brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
BYD,SEAL 82.5 kWh RWD Design,180,82.5,Lithium-ion,172,360,145,480,5.9,100,CCS,750,400,5,RWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design
BYD,SEAL U 71.8 kWh Comfort,175,71.8,Lithium-ion,132,310,171,360,9.3,72,CCS,1300,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort
BYD,SEAL U 87 kWh Design,175,87.0,Lithium-ion,160,330,174,425,9.6,85,CCS,1300,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,Lithium-ion,172,690,181,400,4.5,115,CCS,1500,520,5,AWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3071/BYD-SEALION-7-825-kWh-AWD-Design
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,Lithium-ion,172,380,171,415,6.7,115,CCS,750,520,5,RWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3070/BYD-SEALION-7-825-kWh-RWD-Comfort
BYD,SEALION 7 91.3 kWh AWD Excellence,215,91.3,Lithium-ion,,690,182,430,4.5,165,CCS,1500,520,5,AWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3072/BYD-SEALION-7-913-kWh-AWD-Excellence
BYD,TANG Flagship,190,108.8,Lithium-ion,,700,205,460,4.9,100,CCS,1500,235,7,AWD,JE - Executive,4970,1955,1745,SUV,https://ev-database.org/car/2095/BYD-TANG-Flagship
CUPRA,Born 170 kW - 59 kWh,160,59.0,Lithium-ion,216,310,156,360,6.7,110,CCS,0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,https://ev-database.org/car/2233/CUPRA-Born-170-kW---59-kWh
CUPRA,Born 170 kW - 77 kWh,160,77.0,Lithium-ion,288,310,157,460,7.0,125,CCS,0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,https://ev-database.org/car/2234/CUPRA-Born-170-kW---77-kWh
CUPRA,Born VZ,200,79.0,Lithium-ion,288,545,149,465,5.6,135,CCS,0,385,5,RWD,C - Medium,4322,1809,1538,Hatchback,https://ev-database.org/car/2128/CUPRA-Born-VZ
CUPRA,Tavascan Endurance,180,77.0,Lithium-ion,288,545,142,445,6.8,120,CCS,1000,540,5,RWD,JC - Medium,4644,1861,1597,SUV,https://ev-database.org/car/1971/CUPRA-Tavascan-Endurance
CUPRA,Tavascan VZ,180,77.0,Lithium-ion,288,545,150,425,5.5,120,CCS,1200,540,5,AWD,JC - Medium,4644,1861,1597,SUV,https://ev-database.org/car/1972/CUPRA-Tavascan-VZ
Cadillac,Lyriq 600 E4,210,102.0,Lithium-ion,288,610,192,460,5.3,165,CCS,1587,793,5,AWD,JF - Luxury,5005,1977,1623,SUV,https://ev-database.org/car/2243/Cadillac-Lyriq-600-E4
Citroen,e-Berlingo M 50 kWh,132,50.0,Lithium-ion,,260,149,235,11.7,80,CCS,750,775,5,FWD,N - Passenger Van,4403,1921,1803,Small Passenger Van,https://ev-database.org/car/2159/Citroen-e-Berlingo-M-50-kWh
Citroen,e-Berlingo XL 50 kWh,132,50.0,Lithium-ion,,260,149,230,11.7,80,CCS,750,1050,7,FWD,N - Passenger Van,4753,1921,1814,Small Passenger Van,https://ev-database.org/car/2160/Citroen-e-Berlingo-XL-50-kWh
Citroen,e-C3,135,44.0,Lithium-ion,,120,135,255,11.5,60,CCS,550,310,5,FWD,B - Compact,4015,1755,1577,Hatchback,https://ev-database.org/car/2039/Citroen-e-C3
Citroen,e-C3 Aircross,145,44.0,Lithium-ion,,125,144,240,12.9,60,CCS,350,460,5,FWD,JB - Compact,4395,1795,1660,SUV,https://ev-database.org/car/2224/Citroen-e-C3-Aircross
Citroen,e-C4,150,46.3,Lithium-ion,216,260,135,285,9.9,78,CCS,0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,https://ev-database.org/car/3047/Citroen-e-C4
Citroen,e-C4 54 kWh,150,50.8,Lithium-ion,102,260,122,325,9.1,78,CCS,0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,https://ev-database.org/car/3048/Citroen-e-C4-54-kWh
Citroen,e-C4 X,150,46.3,Lithium-ion,216,260,132,290,9.9,78,CCS,0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,https://ev-database.org/car/3049/Citroen-e-C4-X
Citroen,e-C4 X 54 kWh,150,50.8,Lithium-ion,102,260,119,335,9.1,78,CCS,0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,https://ev-database.org/car/3050/Citroen-e-C4-X-54-kWh
Citroen,e-SpaceTourer M 50 kWh,130,46.3,Lithium-ion,216,220,217,180,13.3,78,CCS,1000,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,https://ev-database.org/car/2252/Citroen-e-SpaceTourer-M-50-kWh
Citroen,e-SpaceTourer M 75 kWh,130,68.0,Lithium-ion,324,220,202,260,14.2,79,CCS,1000,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,https://ev-database.org/car/2254/Citroen-e-SpaceTourer-M-75-kWh
Citroen,e-SpaceTourer XL 50 kWh,130,46.3,Lithium-ion,216,220,219,180,13.3,78,CCS,1000,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,https://ev-database.org/car/2253/Citroen-e-SpaceTourer-XL-50-kWh
Citroen,e-SpaceTourer XL 75 kWh,130,68.0,Lithium-ion,324,220,204,260,14.2,79,CCS,1000,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,https://ev-database.org/car/2255/Citroen-e-SpaceTourer-XL-75-kWh
DS,3 E-Tense,150,50.8,Lithium-ion,102,260,128,300,9.0,85,CCS,0,350,5,FWD,JB - Compact,4118,1802,1534,SUV,https://ev-database.org/car/1791/DS-3-E-Tense
DS,N°4 E-Tense,160,58.3,Lithium-ion,,345,130,375,7.1,70,CCS,0,390,5,FWD,JC - Medium,4400,1866,1470,Hatchback,https://ev-database.org/car/3200/DS-N4-E-Tense
DS,N°8 AWD Long Range,190,97.2,Lithium-ion,,511,146,530,5.4,130,CCS,1400,620,5,AWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3078/DS-N8-AWD-Long-Range
DS,N°8 FWD,190,73.7,Lithium-ion,,345,141,415,7.7,100,CCS,1260,620,5,FWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3076/DS-N8-FWD
DS,N°8 FWD Long Range,190,97.2,Lithium-ion,,345,136,545,7.8,130,CCS,1200,620,5,FWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3077/DS-N8-FWD-Long-Range
Dacia,Spring Electric 45,125,25.0,Lithium-ion,72,125,109,165,19.1,29,CCS,0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,https://ev-database.org/car/2126/Dacia-Spring-Electric-45
Dacia,Spring Electric 65,125,25.0,Lithium-ion,72,113,114,160,13.7,29,CCS,0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,https://ev-database.org/car/2127/Dacia-Spring-Electric-65
Dongfeng,Box 31.4 kWh,140,29.0,Lithium-ion,,160,126,190,12.5,50,CCS,,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3035/Dongfeng-Box-314-kWh
Dongfeng,Box 42.3 kWh,140,40.0,Lithium-ion,,160,129,255,12.5,51,CCS,,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3036/Dongfeng-Box-423-kWh
Elaris,BEO 86 kWh,150,81.0,Lithium-ion,,320,203,390,9.5,65,CCS,,467,5,FWD,JD - Large,4698,1908,1696,SUV,https://ev-database.org/car/1975/Elaris-BEO-86-kWh
Fiat,500e 3+1 24 kWh,135,21.3,Lithium-ion,108,220,112,135,9.0,40,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh
Fiat,500e 3+1 42 kWh,150,37.3,Lithium-ion,192,220,122,235,9.0,67,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1328/Fiat-500e-3plus1-42-kWh
Fiat,500e Cabrio 24 kWh,135,21.3,Lithium-ion,108,220,112,135,9.0,40,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh
Fiat,500e Cabrio 42 kWh,150,37.3,Lithium-ion,192,220,125,230,9.0,67,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh
Fiat,500e Hatchback 24 kWh,135,21.3,Lithium-ion,108,220,112,135,9.0,40,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh
Fiat,500e Hatchback 42 kWh,150,37.3,Lithium-ion,192,220,118,235,9.0,67,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh
Fiat,600e,150,50.8,Lithium-ion,102,260,124,310,9.0,79,CCS,0,360,5,FWD,JB - Compact,4171,1781,1523,SUV,https://ev-database.org/car/1945/Fiat-600e
Fiat,Grande Panda,132,43.8,Lithium-ion,,122,136,260,11.0,60,CCS,550,361,5,FWD,B - Compact,3999,1763,1570,Hatchback,https://ev-database.org/car/2251/Fiat-Grande-Panda
Ford,Capri Extended Range AWD,180,79.0,Lithium-ion,288,679,148,455,5.3,135,CCS,1200,572,5,AWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2242/Ford-Capri-Extended-Range-AWD
Ford,Capri Extended Range RWD,180,77.0,Lithium-ion,288,545,135,455,6.4,120,CCS,1000,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2241/Ford-Capri-Extended-Range-RWD
Ford,Capri Standard Range RWD,160,52.0,Lithium-ion,192,310,163,320,9.0,85,CCS,1000,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2240/Ford-Capri-Standard-Range-RWD
Ford,Explorer Extended Range AWD,180,79.0,Lithium-ion,288,679,153,440,5.3,135,CCS,1200,536,5,AWD,JC - Medium,4468,1871,1639,SUV,https://ev-database.org/car/2169/Ford-Explorer-Extended-Range-AWD
Ford,Explorer Extended Range RWD,180,77.0,Lithium-ion,288,545,139,435,6.4,120,CCS,1000,536,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2168/Ford-Explorer-Extended-Range-RWD
Ford,Explorer Standard Range RWD,160,52.0,Lithium-ion,192,310,137,305,8.7,85,CCS,1000,536,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2167/Ford-Explorer-Standard-Range-RWD
Ford,Mustang Mach-E ER AWD (MY25),180,88.0,Lithium-ion,,675,160,435,4.8,105,CCS,1500,519,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3189/Ford-Mustang-Mach-E-ER-AWD
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,Lithium-ion,376,675,165,445,4.6,115,CCS,1500,519,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2279/Ford-Mustang-Mach-E-ER-AWD
Ford,Mustang Mach-E ER RWD (MY25),180,88.0,Lithium-ion,,525,147,475,6.1,105,CCS,1500,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3188/Ford-Mustang-Mach-E-ER-RWD
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,Lithium-ion,376,525,152,480,5.9,115,CCS,1500,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2278/Ford-Mustang-Mach-E-ER-RWD
Ford,Mustang Mach-E GT (MY24),200,91.0,Lithium-ion,376,950,177,425,3.8,115,CCS,750,519,5,AWD,JD - Large,4743,1881,1613,SUV,https://ev-database.org/car/2280/Ford-Mustang-Mach-E-GT
